ApartmentID,Timestamp,Component,Building,Floor,Unit,LocX,LocY,LocZ,RotPitch,RotYaw,RotRoll,RotXMax,RotXMin,RotYMax,RotYMin,PerpendicularAngleDeg
1-04-404,2026.09.21-11.35.52:725,ViewCameraComponent404_1,1,04,404,-9509.088,3319.735,15070.000,0.000000,96.034482,-0.000000,80.0,-80.0,40.0,-90.0,96.0
1-04-404,2026.09.21-11.35.52:725,ViewCameraComponent404_2,1,04,404,-10099.525,3020.650,15070.000,0.000000,128.887002,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-02-201,2026.09.21-11.35.52:734,ViewCameraComponent201_0,1,02,201,-10609.557,2216.833,14270.000,-10.217350,117.664833,0.000000,80.0,-80.0,40.0,-90.0,141.0
1-02-201,2026.09.21-11.35.52:734,ViewCameraComponent201_1,1,02,201,-11165.183,1281.504,14270.000,-15.644937,173.864882,0.000000,80.0,-80.0,40.0,-90.0,186.0
1-02-201,2026.09.21-11.35.52:734,ViewCameraComponent201_2,1,02,201,-10515.399,556.355,14271.161,-10.292114,-85.000000,0.000000,80.0,-80.0,40.0,-90.0,231.0
1-02-204,2026.09.21-11.35.52:734,ViewCameraComponent204_2,1,02,204,-10014.014,2951.415,14270.000,-10.134241,141.004155,0.000000,80.0,-80.0,40.0,-90.0,141.0
1-02-204,2026.09.21-11.35.52:734,ViewCameraComponent204_1,1,02,204,-9509.088,3319.735,14270.000,0.000000,85.000000,0.000000,80.0,-80.0,40.0,-90.0,96.0
1-02-204,2026.09.21-11.35.52:734,ViewCameraComponent204_0,1,02,204,-8756.828,2906.170,14270.000,0.000000,19.385858,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-02-203,2026.09.21-11.35.52:734,ViewCameraComponent203_2,1,02,203,-8027.818,2312.169,14270.000,0.000000,83.824381,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-02-202,2026.09.21-11.35.52:734,ViewCameraComponent202_0,1,02,202,-9787.928,-39.653,14270.945,0.000000,-105.394311,0.000000,80.0,-80.0,40.0,-90.0,231.0
1-02-203,2026.09.21-11.35.52:734,ViewCameraComponent203_1,1,02,203,-7474.210,1662.721,14270.000,0.000000,0.000000,-0.000000,80.0,-80.0,40.0,-90.0,6.0
1-02-203,2026.09.21-11.35.52:734,ViewCameraComponent203_0,1,02,203,-7805.503,999.595,14270.000,-0.000000,-28.188078,0.000000,80.0,-80.0,40.0,-90.0,-39.0
1-02-202,2026.09.21-11.35.52:734,ViewCameraComponent202_2,1,02,202,-8246.412,456.026,14270.000,-0.000000,-2.505334,0.000000,80.0,-80.0,40.0,-90.0,-39.0
1-02-202,2026.09.21-11.35.52:734,ViewCameraComponent202_1,1,02,202,-9125.227,-376.196,14270.000,-0.000000,-95.000000,0.000000,80.0,-80.0,40.0,-90.0,276.0
2-06-601,2026.09.21-11.35.52:742,ViewCameraComponent601_0,2,06,601,-8687.131,-2468.206,15880.000,0.000000,139.387020,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-06-601,2026.09.21-11.35.52:742,ViewCameraComponent601_1,2,06,601,-8474.559,-3612.053,15880.000,-0.000000,-90.859296,0.000000,50.0,-70.0,40.0,-90.0,231.0
2-06-602,2026.09.21-11.35.52:742,ViewCameraComponent602_0,2,06,602,-8116.983,-3911.924,15880.000,-0.000000,-91.880998,0.000000,50.0,-70.0,40.0,-90.0,231.0
2-06-602,2026.09.21-11.35.52:742,ViewCameraComponent602_1,2,06,602,-6659.158,-3507.626,15880.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-06-603,2026.09.21-11.35.52:742,ViewCameraComponent603_0,2,06,603,-6070.643,-2765.394,15880.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-06-603,2026.09.21-11.35.52:742,ViewCameraComponent603_2,2,06,603,-5677.018,-895.084,15880.000,0.000000,85.556222,-0.000000,50.0,-70.0,40.0,-90.0,51.0
2-06-604,2026.09.21-11.35.52:742,ViewCameraComponent604_0,2,06,604,-6408.349,-301.703,15880.000,0.000000,50.052111,-0.000000,80.0,-80.0,40.0,-90.0,51.0
2-06-604,2026.09.21-11.35.52:742,ViewCameraComponent604_1,2,06,604,-6630.337,-89.016,15880.000,0.000000,107.678583,-0.000000,70.0,-70.0,40.0,-90.0,86.0
2-06-604,2026.09.21-11.35.52:742,ViewCameraComponent604_2,2,06,604,-7791.710,-1369.006,15880.000,0.000000,171.984999,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-06-603,2026.09.21-11.35.52:742,ViewCameraComponent603_1,2,06,603,-5177.473,-1672.884,15880.000,0.000000,1.177075,-0.000000,80.0,-80.0,40.0,-90.0,321.0
2-05-501,2026.09.21-11.35.52:750,ViewCameraComponent501_0,2,05,501,-8687.131,-2468.206,15480.000,0.000000,139.387020,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-05-501,2026.09.21-11.35.52:750,ViewCameraComponent501_1,2,05,501,-8659.695,-3449.398,15480.000,-0.000000,-90.653283,0.000000,70.0,-50.0,40.0,-90.0,231.0
2-05-502,2026.09.21-11.35.52:753,ViewCameraComponent502_0,2,05,502,-7931.502,-4044.551,15480.000,-0.000000,-95.128635,0.000000,70.0,-50.0,40.0,-90.0,231.0
2-05-502,2026.09.21-11.35.52:753,ViewCameraComponent502_1,2,05,502,-6960.955,-3857.103,15480.000,-0.000000,-38.469847,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-05-503,2026.09.21-11.35.52:753,ViewCameraComponent503_0,2,05,503,-6358.888,-3137.298,15480.000,-0.000000,-71.971952,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-05-504,2026.09.21-11.35.52:753,ViewCameraComponent504_0,2,05,504,-5771.733,-2410.457,15480.000,-0.000000,-74.428116,0.000000,80.0,-80.0,40.0,-90.0,321.0
